  -2.4705180e-01  -2.2225209e-01  -2.3682240e-01  -1.0821405e+00  -2.6828578e-01  -5.0869317e-01  -3.4161475e-01
  -3.4161475e-01  -2.4705180e-01  -2.2225209e-01   2.0141337e+00  -1.0821405e+00  -2.6828578e-01  -2.7882449e-01
  -2.7882449e-01  -3.4161475e-01  -2.4705180e-01   1.9440311e+00   2.0141337e+00  -1.0821405e+00   7.4892890e-02
   7.4892890e-02  -2.7882449e-01  -3.4161475e-01  -1.5215294e+00   1.9440311e+00   2.0141337e+00   2.9182751e-01
   2.9182751e-01   7.4892890e-02  -2.7882449e-01   1.9393184e+00  -1.5215294e+00   1.9440311e+00   4.4658498e-01
   4.4658498e-01   2.9182751e-01   7.4892890e-02  -8.9584036e-01   1.9393184e+00  -1.5215294e+00   5.5584748e-01
   5.5584748e-01   4.4658498e-01   2.9182751e-01  -3.0415758e-01  -8.9584036e-01   1.9393184e+00   4.8402328e-01
   4.8402328e-01   5.5584748e-01   4.4658498e-01   5.5525312e-01  -3.0415758e-01  -8.9584036e-01   4.1692914e-01
   4.1692914e-01   4.8402328e-01   5.5584748e-01  -3.2424685e-01   5.5525312e-01  -3.0415758e-01   3.4717668e-01
   3.4717668e-01   4.1692914e-01   4.8402328e-01   1.3388144e+00  -3.2424685e-01   5.5525312e-01   3.5531981e-01
   3.5531981e-01   3.4717668e-01   4.1692914e-01   1.2222985e+00   1.3388144e+00  -3.2424685e-01   5.1196773e-01
   5.1196773e-01   3.5531981e-01   3.4717668e-01  -1.5959782e+00   1.2222985e+00   1.3388144e+00   5.1272813e-01
   5.1272813e-01   5.1196773e-01   3.5531981e-01  -1.0677303e+00  -1.5959782e+00   1.2222985e+00   2.7210185e-01
   2.7210185e-01   5.1272813e-01   5.1196773e-01  -7.5991921e-01  -1.0677303e+00  -1.5959782e+00  -3.1825801e-02
  -3.1825801e-02   2.7210185e-01   5.1272813e-01   4.2098880e-01  -7.5991921e-01  -1.0677303e+00  -2.3056155e-01
  -2.3056155e-01  -3.1825801e-02   2.7210185e-01  -4.3337306e-01   4.2098880e-01  -7.5991921e-01  -3.3473029e-01
  -3.3473029e-01  -2.3056155e-01  -3.1825801e-02   7.0625199e-01  -4.3337306e-01   4.2098880e-01  -3.3842566e-01
  -3.3842566e-01  -3.3473029e-01  -2.3056155e-01   2.2785691e-01   7.0625199e-01  -4.3337306e-01  -2.4243392e-01
  -2.4243392e-01  -3.3842566e-01  -3.3473029e-01  -1.0169919e+00   2.2785691e-01   7.0625199e-01  -2.2580686e-01
  -2.2580686e-01  -2.4243392e-01  -3.3842566e-01   1.3986037e-01  -1.0169919e+00   2.2785691e-01  -2.5072382e-01
  -2.5072382e-01  -2.2580686e-01  -2.4243392e-01  -7.4808884e-01   1.3986037e-01  -1.0169919e+00  -2.9126393e-01
  -2.9126393e-01  -2.5072382e-01  -2.2580686e-01  -6.2897493e-01  -7.4808884e-01   1.3986037e-01  -3.8732178e-01
  -3.8732178e-01  -2.9126393e-01  -2.5072382e-01   1.3948307e+00  -6.2897493e-01  -7.4808884e-01  -3.3965799e-01
  -3.3965799e-01  -3.8732178e-01  -2.9126393e-01  -1.6476911e+00   1.3948307e+00  -6.2897493e-01  -3.1473206e-01
